Entity,average_probability
St. Tammany Parish Public Schools,13000
"a German ""grand, heroic, romantic ""opera by Carl Maria von Weber, first",7
spots,682000000
The movie,455000000
"Shannon Airport, Ireland",27800
Hawaii and the West Coast,252000
several visits,1260000
the Japanese automaker,443000
Lebanon and other places,111000
the CBBC show Trapped,18
a very very bad thing,216000
our classrooms,4900000
"American Sign Language, or ASL, for a time",7
real events,5010000
the designs of the often cruel Saskatchewan weather,0
Orlov,5020000
this ruling on the Danubius suit,0
the missile shield effort,3
negotiations,228000000
conjunction with a Blue Alliance board meeting,0
Vojislav Kostunica,29100
County Kilkenny,785000
Stockholm Open,149000
"the village of Polegate, near Eastbourne",2
"her father, Dodge, a United States Navy pilot who died in the Vietnam War",1
Suzanne Collins,2210000
criticism of drama,204000
the village,193000000
Lucille Ball,6840000
The behavior of complex macromolecular systems at materials interfaces,1
the development of breast cancer,19200000
half the human population,294000
a period in which the Taliban was gaining strength,0
a crowd,104000000
randomness,35200000
These acts,9190000
a month,656000000
pay,3900000000
An operation,37100000
nations,1150000000
a press conference after Hau's announcement,0
Aden,20100000
Everything Must Go,3180000
Police detectives,1340000
"Other acids of noncoordinating anion s, such as fluoroboric acid and hexafluorophosphoric acid",0
The island's parliament,8450
a collection of biographies and filmographies of the masters of Russian and Soviet animation,1
Bolton,83800000
Ray Bradbury The Illustrated Man,14300
The row,45700000
their efforts to prove their claim to Rancho La Brea,9
Entrena,737000
"the relief well, which should be completed within weeks",0
the Pernambuco state,14400
Spencer,290000000
the stadium,42500000
other things,343000000
the mayor,70700000
the adjacent line,23200
"Bacteria in the urine, especially gram-negative rods",1
"Slovakia's top brown coal producer, supplying fuel to the nearby Novaky heating plant",1
way,8570000000
the Swiss Alps,4760000
people,10090000000
royalty payments,1380000
junior high,43900000
break points,3060000
the bill,175000000
FFA spokesman Rod Allen,1
preliminary stages,583000
Chicago's south side,487000
"one player, who did not want to be named",3080
Le nozze di Figaro at the Spoleto Festival USA,1
the Turkish support,16800
stressful periods,233000
The commission,176000000
what cost,9110000
the concept,683000000
Laura Restrepo,39000
The Greek crisis,145000
the big leagues,4310000
a part,1270000000
Aftershock,9110000
some of the most talented young guitarists,5
Four days later,9030000
Democrat Senator Jack Reed,137
other machines,8130000
Li's Antung Street Studio,1
"the complaints, filed in federal court in Georgia",0
Egypt,1110000000
"Keil, Germany",7000
the new vocalist in Azores,0
Clube Atletico Paranaense and Democrata Futebol Clube,0
Mr. Gilmore,52300
"MTV, Mad",796
Police officers,88600000
wine,811000000
The parliament of the republic,948000
"Buffalo, New York",10600000
love,6350000000
Dutch politician Pim Fortuyn,3380
Sir Alan,483000
Iran,669000000
their games,19300000
the AHL's Binghamton Senators,586
Sammons,3470000
"Copenhagen, Denmark",27300000
"other anarchists, notably Murray Bookchin, whose polemic, Social Anarchism Or Lifestyle Anarchism: An Unbridgeable Chasm, attacks these recent trends in anarchist thinking",0
Project Gutenberg and the University of Virginia,8
The agency,209000000
The lorem ipsum,548000
the negotiations,14700000
Mr. Barak and other politicians,0
Deloitte,90500000
investor sentiment,3620000
Production,3080000000
A culture,227000000
Sweden,1260000000
the Sri Sampradaya Vaishnavas,1
a German football coach and a former player,719
the bishop,20700000
a far surer bet in a competitive district than a newcomer running to keep the seat in a party's hands,0
the Amazon River basin,258000
the songwriter and singer for four songs,1
his wife of two years,3090000
She and Max Rostal,4
the heroes of war,511000
President,1970000000
his wife,570000000
Armor for Sleep,120000
"Vancouver, BC",68600000
the race,169000000
a story in the public domain,226000
a visit to China,1240000
Australia,2650000000
The district,229000000
every presidential election over the past half century,2
Roger Federer in the semifinals,27600
am the German Schutzpolizei,61
The concern,49100000
The Earth,494000000
more years of litigation,99700
Giselda in Verdi's I Lombardi alla prima crociata,2
"a French Army training facility located in Arta, Djibouti",2
my mother,154000000
The park,289000000
An Italian foreign ministry official,533
the Massachusetts Senate race,5720
St. Charles Car Company,584
"a new black alternate with a Pirates' ""P",10700000
Clopidogrel,6060000
my whole family,10300000
"Wanpeng Shi, chairman of the General Textile Association",0
American aid efforts,2690
"his own band, Rich Kids",6
its influence,53200000
Sollom,137000
its own version of a CARE package,0
"a historic, epic change in the political dynamics of the country",1
a parking lot of the prison,0
a majority,197000000
The Battle of San Pasqual,9970
U.S. officials,6460000
"Pozsony, Hungary (now Bratislava, Slovakia, Pressburg in German) Elisabeth",2
the West,640000000
the stolen Yakuza data in his head in exchange for a shot of good shit,2
five officials,94800
magazines,465000000
The Pakistani Army,297000
four months,88700000
a luncheon meeting Tuesday of Democratic senators,0
"an American poet, an active proponent of the Confederate States of America, and a Roman Catholic priest",5
Chennai's first match of the tournament,0
nineteen hundred and fifty seven,11400
themselves,1920000000
Hayward,53800000
a good portion of the original Constantinople Wall,1
the NPA presence,1190
the APPD,9210
the actual figure,355000
a small bell turret,1150
peace,1280000000
one of my favourite sights in the night sky,2
Lone Star Steel's unsecured creditors' committee,0
Foreign rights groups,1120
a tough stance taken by Prime Minister Neville Chamberlain and a firm declaration,1
its session,393000
its target,28400000
Dozin' at the Knick,3750
three points from the,1130000
the Scottish Government,7430000
the other cats,1330000
security forces,21900000
work release,4230000
teachers,1410000000
the poverty line,11500000
the authorities,87400000
basketball and baseball,1640000
the packages,21700000
an expert to help FAZ review its constitution,0
Federal NDP leadership candidate Brian Topp,2
England coach Martin Johnson,1450
major bombings,5470
Skeletal and cardiac muscles,94900
the US suggesting lifting the weapons embargo to Bosnia-Herzegovina,0
equipment,1800000000
"his level of remuneration such as ""division leader level",0
FBI Special Agent Emma Hollis,9
videos,8230000000
"the scandal, which paralysed parliament for the entire winter session, saying other independent investigations were probing the allegations",0
Florida law,4750000
a French citizen,245000
flour,240000000
Iambe,22500
Everybody,447000000
the de-emphasis of central areas,0
the Shire of Northern Grampians,821
his off-spin,28800
#NAME?,0
Sony,310000000
small groups of British-trained Albanians,3
the country's first ever participation in the Winter Paralympic Games,0
just five minutes,68200000
Antoninus Pius,448000
countries,2550000000
a single accelerator,11700
the English Parliament,289000
an analogous event,4750
his cramped surroundings,46
Beijing West Road,12200
a problem,976000000
"The album track """,287000
all of their audio player technology,1
your mongrel cluster,4
policy,18220000000
tonight,730000000
"declines in the stock market and dollar, and a rally in bonds",0
Ashley Judd,2500000
The decline,135000000
stricter monitoring of their operations,3
Indian Ocean,217000000
"Eric Mink, writing for the New York Daily News",6
The Company,1210000000
"Emmanuel's ""La Chica de Humo """,69000
her Olympic exploits,2410
discussions with U.S. diplomats,18100
relationships,1920000000
Georgetown across the Potomac River,229
a two-day forum,41700
A gigantic robot,10100
many Japanese trading companies,1840
two Voyager spacecraft,16100
"Antonio Novello, whom Mr. Bush nominated to serve as surgeon general",0
a free download as the UK iTunes Store's' Single of the Week,2
The next stage,33400000
even minor offenses,11800
"Charles II, Duke of Lorraine",6720
the army,152000000
new stock or corporate debt,0
"his band, ""Josh White and the Carolinians """,14000
the Amiga,1200000
ruler of Egypt,936000
money funds,244000
their professional football careers end,3
Jonathan Ross and Paul Gambaccini,106
the gunfire,1090000
controversy,343000000
the Burmese military,99200
this Panhandle city,218
"The original stage design of Threepenny, by Caspar Neher",1
Kingswood Grammar School,659
Donoghue's,266000
consultations,323000000
this encouragement,304000
a decades-long struggle,33400
one,15930000000
friendly territory,94000
The objective,278000000
Democratic strength,23600
another theory,2770000
the first Albion player,340
the Chairman of the Executive Committee of the Riga City Soviet,3
northeast of Dali in Yunnan province,0
landslides and mudslides,84800
its name,204000000
a member of the Asian Network for Free Elections (ANFREL),4
"understanding, communication and friendship",3280
the time his talks with Mr. Pilson are completed later this month,0
our vessels,720000
Reuben Fine and Harry Golombek,9
several other agreements,98500
we,16650000000
minimum and maximum requirements on rake and trail,2
secret police and Army after Ceausescu,0
Kathleen,135000000
the Black Sea coast,954000
Xiang's capital of Pengcheng,5
The builders,12500000
the Iraqi authorities,99400
Wednesday,1030000000
a party,258000000
the second half of next year,409000
education of the medium,6
The Los Angles Times,7990
People in Taiwan,6050000
The county,144000000
training,3660000000
cinema,527000000
The first collision,119000
"The quarter-on-quarter growth, in line with market expectations",0
a broad network,806000
Some aspects of Brazilian culture,4680
Honduras,421000000
Figueroa-Feliciano,17400
increased violence,333000
the Israeli national football team,3420
The organisation,129000000
The trappings of success,137000
Stewart and former ImClone CEO Sam Waksal,0
the overthrow of the Swiss Confederation and the establishment of the Helvetic Republic,5
a rejection of revelation and miracles,8
The Audit Bureau of Circulations,45100
out of town,72000000
young men and women,23000000
number one,229000000
"St. Louis, Missouri",18900000
Ordinary Decent Criminal,18300
failure,1300000000
a power-sharing administration,2460
information given to Mr. Laff by another conspirator,0
an attempt,320000000
Regime change in Iraq,166000
the training center of Antonio Rodrigo Nogueira and Antonio Rogerio Nogueira,0
the top spot,20300000
Collie and Dardanup,232
Christine,292000000
princely states,824000
Abraham,215000000
One hundred years,15500000
E.ON's chief operating officer,6
the purchase of two old power plants from South Korea,0
"the first inning, that scored a run",5
the North Koreans,2260000
Archibald,21700000
the village of Bear Creek,9810
Farwell,5840000
the Japanese Ministry of Education,171000
Ali Duba,1450
any threat,20600000
five innocent civilians including three children and two women,0
morning,2050000000
The city,1280000000
gross anatomy and microscopic anatomy,11200
William,1260000000
direct entry,5550000
an interview,382000000
Norway,1170000000
"a play on words referring to Manchester City's fan anthem, Blue Moon",4
"South Ossetia, whose residents mostly have Russian passports",0
a poignant reminder of what might have been,5060
impunity,16300000
the Indian Ocean from Reunion,1110
its news bureaus,8420
a late update,35100
a major jazz festival,5590
elaborate outfits,70700
Three players,10800000
many others,218000000
evidence,2080000000
a ruling,13900000
a United flight,302000
Frequent clashes between the two European powerhouses over multi-billion-euro (dollar) bailout packages for Greece and then the wider eurozone,0
a final peace accord,9350
Glenn Ford and Nancy Kwan,5
the balance,342000000
Deputy Director of Central Intelligence,62100
a replacement,151000000
a corporate source,4740
Aceh governor Irwandi Yusuf,613
Weidiaunuo,1
Xiao Yi,498000
an ailing soprano,86
the majors,8520000
the slalom course,33300
an afternoon crowd in Bowling Green,0
the society,243000000
its professional,3790000
his lips,19600000
some substantive educational content to show visitors,1
"a grandfather, Sir Pelham Warren",0
western North America three beetles,7
one full year,1890000
"Walt Disney Television, titled Eloise at the Plaza and Eloise at Christmastime, starring Sofia Vassilieva as Eloise and Julie Andrews as Nanny",1
Next day,323000000
Heavy Rain,53600000
The planes that go to LaGuardia,1
Harris,1030000000
The result,1060000000
a matter of weeks,10800000
Gandhi's breakthrough,9
the roadmap and election plan,0
"a change in cell potential, that is, the difference of the electrical charge on both sides of the membrane",0
Frame,1040000000
Elizabeth of York,289000
The larvae,12200000
a remarkable experience,1290000
the federal government,193000000
excellent growth,570000
canon law,2680000
three months to clean up viral contamination that had been slowing production,0
money,4440000000
several battalions,28200
last month,348000000
equal access,30800000
US capital corporations,1
the votes,20000000
myself,948000000
a whole new level,27700000
Jared Taylor and Sam Francis,8
Fredrik Hogberg,5480
the US,2550000000
a motorcycle track,21500
"the second half, by which time he had been replaced, little more than a procession",0
the state,1570000000
support,11870000000
Wedding experts,163000
the provinces in the Philippines,112000
"a Hakka community in Calcutta, India of previous, considerable size",0
FEMSA,434000
his confession,1450000
Creative alternatives like Dvorak and more recently Swype still,0
troops,201000000
Spain,1650000000
the Advancement of Science and the Franklin Institute,6
work,11160000000
discussions of the Israeli-Palestinian conflict,31900
the Guantanamo Bay detention camp,17000
the group,764000000
"those in Manhattan and Brooklyn, N.Y., and New Jersey",0
Giovanardi,284000
her work,210000000
estimates by the tobacco industry yesterday,0
The airline's inaugural flight,7500
Archie Comics' characters,41900
the Senate,94900000
Modern artists,1190000
their compatriots,497000
Many Emancipados,8
Shaanxi,16100000
"ideas of Christianity, Russian patriotism, and Slavic unity",1
an interview published Monday,16900
his employer,15700000
the place trying to beat you out because most gamers,0
Creative Writing,87700000
the Shri Swaminarayan Mandir,11800
"Utility stocks, on the other hand",2370
The nerds outside of the club,1
"The first Marine to hold the billet as ""Assistant to the Commandant """,1
Many analysts,1890000
the country's troops,18100
"The Gandhara kingdom of the northwest, and the legendary Gandhara peoples",5
Islam,289000000
even the Red Delicious,7
The Devils,11600000
"the Norwegian parliament, Stortinget",4800
Karl Pearson,286000
two years of Leo's death,0
the proceedings,52800000
its lowest level,2560000
an American sculptor who studied with Auguste Rodin and Frederick William MacMonnies,2
His release,14900000
surviving male issue,4210
a career at a company,380000
The eastern border of Colorado with Nebraska and Kansas,2
studios in Manhattan,755000
the Bangladeshis,57800
businessmen,34300000
sons,599000000
"sellers, and particularly program traders",0
a Dutch microbiologist and biochemist,6
a railway station - Baarn railway station,1
the season-opening games,16600
the county border,106000
the end of their three-day summit Saturday,0
the oldest stone curved bridge,6
a Dame Commander of the Order of the British Empire (DBE),9030
Didelphidae,86700
the underwriter,907000
original,4800000000
Besson,5800000
Roman Empire,38300000
anniversary,1080000000
ah ah who were sent abroad,0
a nice big check,21200
one of the few Kiss songs written by Gene Simmons and Paul Stanley together,7
Ascot Park railway station,919
Hillgruber,80600
Ritual Entertainment,17600
"Sevenoaks, Kent following structural failure of the tailfin or rudder",0
Sotheby's International branches,2
Betsy Engelken,0
a step,434000000
the Ilmor Chevrolet program,1
the Jacobite Syriac Orthodox church,368
China,2020000000
the site of a hospital,2540000
additional austerity measures,4990
one sentence,17400000
his current deal,323000
political purposes,2320000
its economic policy,739000
races in Pennsylvania and Arkansas,3
his property,16400000
her first WTA Tour title,10400
formerly independent Estonia,3
a wide variety of vehicles with which to battle his enemies,3
Mr. Gorbachev,86600
This kind of opinion,2430000
Saab,58600000
Court records,19400000
The letter,273000000
Puerto Rico,462000000
Israel,1670000000
the snail's throat,6
Puerto Rico Telephone Co.,6030
poster stamps (advertising posters in collectible stamp form),3
the dental laboratory,763000
A friend,948000000
the arrest of the secretary general of the Popular Congress Party,3
the International Rules series in Ireland,667
abusive behavior,3210000
a sizable aid operation,1
coroner's officials,32000
her exploits,169000
The three female nominees,263
the country,1670000000
Saturday,1230000000
the end,2920000000
The only homers,344
a range of recipes,428000
the Quonset huts and other building,0
Montreal and Toronto,321000
the global financial crisis,10200000
his claims,6030000
news,11190000000
1983 Contest,1380
members of his party,3860000
UBS,22600000
carinal canals,1370
dealers,250000000
the temperate and tropical parts of Eurasia and parts of Australasia,192
color,3120000000
the Nazis,23000000
"five photos of George Bush, one of them featuring the First Dog, Millie",0
The split,51900000
terms of intimacy with James Mill and Francis Place,1
the Chrysler Corporation,117000
sensitive activities,147000
the national power grid on Friday,6
De Pedis,35800
secrecy,47900000
Lord Advocate,178000
a scholarship at Iona College,7
"a spread, or a filling in a lemon meringue pie",0
Mr. Wathen,4610
the Cleveland Browns,5330000
only a superb late stop by David James,2
The caustic spill--Hungary's worst ecological disaster,2
company receptions,4370
the Royal Engineers,558000
a small portion of northern Denton County,1
the Second World War,52000000
France,2520000000
the lion,95400000
the European Commission,143000000
County Durham,13100000
key national laboratories,6650
the Communist Party and most Han cadres,0
chancellor of Sharif University of Technology,1030
enough grain in the pipeline,0
this Mandelson,25
cables,219000000
addition to his solo work,51800
the railway platform,181000
Joshua Lawrence Chamberlain,37600
The First Sudanese Civil War,10500
No amount of scrimping and saving,114
They,14310000000
Clun Forest,22700
the club,216000000
Bayern Munich of West Germany in the European Cup final,2
"The McLean, Va., company",166
judges,285000000
"Fujian Province, located in southeast China's coastal area",0
another of his colleagues,482000
the former Prime Minister,4620000
a prominent figure in contemporary critical theory,2
SOFCs,323000
the return of the US Navy,281000
the situation,564000000
The Republican National Committee's finance director and his deputy,1
Larry Karaszewski,61600
the recession,10900000
Haiti,357000000
The Polish government,549000
federal programs,9020000
soldiers,366000000
Recent tour-mates,1660
Mexican armed forces,20800
director,2470000000
Liu,637000000
Bridge,1050000000
one administration official,17300
Tuesday's policy changes,3
Mr. Dorfman,5960
The best of the crop,1820000
remote parts of the city such as the Nong Chok district where traditional Thai Muslims still live,0
business data,17600000
one scene in the movie Big where the young Tom Hanks character gets,2
them,10430000000
the judge,92900000
"a mathematician, who later become an associate professor at the faculty of Engineering of the Sapienza University of Rome",1
stock-market volatility,4380000
the flames,29300000
land,2190000000
him,3640000000
"the VHS version of their single ""Bohemian Rhapsody ""titled ""Every Mistake Imaginable ""in which the band discusses that they have to record an extra three minutes of footage for the single to be chart eligible",1
the CCP's current control on news,0
ad rates,12500000
Civil War,196000000
several more days,292000
the contest months,703
Pipe Masters,79600
the Rio Chama in the U.S. state of New Mexico,2
"Stamford Bridge, home of Chelsea",8560
various representatives of the genus Cardamine,0
the band,197000000
El Mariachi,1130000
the possibility,695000000
The team,1130000000
a hero in the eyes of many post-War Italian fascists,5
Sutton,122000000
half a world,18600000
Peter Coors,3490
the man three times,49500
Pfitzner,428000
a dictatorship conserving some of the liberties and mechanisms of democracy,5
"Plock County, Masovian Voivodeship, in east-central Poland",0
a contributor,124000000
a severe systemic inflammatory response,25100
Morrison,169000000
"penile papules "", a common and harmless condition",13200
Bayezid (spelt Bayazid),1
"Cole Porter, her first being",0
"Ms. Hesse, a Chicago businesswoman who previously held posts at the Energy Department and FERC",0
"Brazil, which witnessed five military presidents",0
information and convenience,14100000
late Monday night,1260000
"the ""Super Casino ""license",9720000
the west of Ile Jesus,2
an air raid warden,34100
The figure,258000000
Battle of Jutland,239000
the agency's latest report on Iran,1
their ancestors,17700000
the area,1130000000
motherhood,94200000
an effort to dress up results--and perhaps bolster performance-related bonuses,0
their final resting places,45800
those produced in Cebu making it to export markets around the world,4
"diffusion of oxygen, carbon dioxide, and other metabolites",2
the Caliph and Henry Ainley,1
Comrade Putin,9170
trumpet,63300000
aim,1230000000
The drink,33000000
"Clube Atletico Taquaritinga, commonly known as Taquaritinga",0
Al-Dhahabi in his Talkhis al-Mustadrak,7
heart attack,107000000
analyst,756000000
Lesley-Anne Down,143000
Time magazine,21200000
shame,266000000
The rattlesnake,579000
deserved victories,28000
"an ""international outlook",482000000
Aqeel,4950000
Wilson,810000000
"the task to develop and support international scientific networks, especially with developing countries as partners",0
various Hollywood actors,2940
forecast in the statement,9
north,3420000000
Barbados and the West Indies,200000
citizens living overseas,29900
the Netherlands,447000000
Spain coach Vicente del Bosque,19500
"The Three Blind Mice, Gingy, Pinocchio, and the Big Bad Wolf",0
the range,611000000
Later Liang Dynasty,4990
calls,1710000000
Lake Toba,687000
the master of the Roman world,66200
New Jersey lawmakers,48500
a Turkish professional footballer who currently plays for Kasimpasa in the Super Lig,0
"a Middle Age kingdom called Houghton Bottoms, ruled by the diminutive King Arthur and his Queen Edith",4
"Eisenhower, Oppenheimer, Einstein, Patton, Marshall",1
Michael,2000000000
"Moonis Ahmar, a professor of international relations at Karachi University",1
Bishop of Charleston,61900
Barak,13000000
the first phase investment,5590
colour,798000000
opinion polls,4880000
an English Bishop Henry of Uppsala,6
Axa,18400000
the beginning,1110000000
Bonar Law,117000
the influence of the powerful state bureacracy,0
Mock gold ingots,6
the following,4600000000
Louis-Dreyfus,4780000
the formulary,378000
"President of Drexel University in Philadelphia, Pennsylvania",6
Complutense University,875000
Northwich and Ellesmere Port,1550
a Grand Rapids jury saying Taco Bell,0
anyone,2200000000
Wall Street Journal columnist James Taranto,59
news articles,88200000
"a twin sister, the chaste huntress Artemis",1840
The manner in which it was confirmed,2
a telephone interview,2370000
inmates in more than seven Georgia prisons,6
European and Turkish firms,5
Sporadic clashes,56700
scores,1050000000
the same year,155000000
favor of Bob Stanley,4
"land of the outback, a snapshot of Jim Beam",0
Ross MacDonald in the men's Star event,1
the shafts,2750000
India The history of India,6290000
the stores,28600000
the material,598000000
"Battle of Antietam, in which Union troops turned back a Confederate invasion of Maryland",1
Multinationals,10400000
the routes for mountaineers,3
the script,118000000
Disney,753000000
the interview's most newsworthy moment,0
an exhibition game in the Panama capital,0
a strong Even influence,1
Best Player,21700000
a majority of South Koreans,26500
rare plants,3880000
this terminology several years,0
the game,1110000000
a branch to the important city of Wells,2
Japan,2230000000
Worcestershire,29400000
Clinton's visit,46200
ECFA issues,271
This member,9030000
its plants,590000
the golf course,24300000
office,5050000000
a series of workshops across ASEAN,1
South America,346000000
Abba-Zabas,356
The vehemence of the emotions aroused by the case,0
"Time, the largest newsweekly",2
the lead,353000000
A Philippine politician whose family was allegedly murdered to stop him running for governor,0
Ethiopia,448000000
Order of the Golden Fleece,174000
police officers,88600000
"Killorglan, the place where Puck Fair takes place",1
Cosby,14400000
economic aid,896000
the trophy,22600000
London,2280000000
their return to Taiwan,15700
Replacement bocce balls,695
the airport,176000000
late September,14600000
a few shows,1470000
the impact of the spreading ash cloud,0
Your Brain on Music,87000
A sixth person,38500
the war,450000000
"the Crib ""is the second single by American",5950000
"Los Angeles, California",118000000
the trade unionists,290000
the Clinton administration,1070000
foreigners,87100000
each time a quarterback ranted or raved,0
a nuclear bomb,3330000
Erwin Ringel,1580
Arab and Persian,131000
Gaza,271000000
the-LCB-government-RCB-bond market,0
his life,417000000
The foundation stone,4480000
the Seychelles,5550000
Manchester's drizzly climate,3
the Pet Shop Boys,233000
Seven Springs Farms,7750
the Panamanian capital,5600
Some of them,978000000
the Baton Rouge police chief and the serial murder task force,0
a fourth consecutive overall victory,7
Rome at which Enrico died,1
the newly released papers,909
the circle of elite,52500
Biskupiec bis' kupjec,0
the various Indian cultures,6940
imprint,342000000
Emerson,87100000
Such money,861000
the three releases,45000
a press conference,36400000
a sharper rise,14200
her front lawn,68500
helos that are flying by or any other ships that are coming in through here,0
Millonarios,4840000
ACC referee Ron Cherry,31
paper,2620000000
a year and a half,44900000
"the actress selected by Victor Hugo to create the part of Guanhumara in Burgraves at the Comedie-Francaise, where she remained ten years",0
Mae Marsh,43500
the city,1280000000
the Victoria Aces,106
victory,587000000
a single weekend,241000
Hanna-Barbera Productions,114000
moves,955000000
a free agent,30400000
Chrysler,87600000
Physical attractiveness,1050000
Fink,46700000
their opponents,15700000
The World,5310000000
EC,454000000
The Dancing House,56500
New clubs to join,28800
The head of an Ayllu,10
the War of the Fourth Coalition,9420
Common examples,9710000
the battle in heaven he has provoked,5
its lower operating costs and due to a large loss on securities holdings in the earlier period that came off of its books,0
Espacenet,573000
the bombing,9080000
broad Israeli public support,3
Faxanadu,48600
"a draw including the AFC, CAF, CONCACAF and OFC champions",1
Modern attention to domestic violence,54
the name of the stimulant,33100
The central issue,2260000
the top of the Billboard charts,128000
the site of the station,2550000
his Abitur,12000
The date,783000000
The three main candidates,20900
the United States President Gerald Ford and French president Giscard d'Estaing,4
"the Al Merreikh Stadium, Omdurman (Sudan)",1
the same and the area of mutual interests,0
a house,306000000
her campaign,5900000
critical acclaim,16600000
the Wikipedia page,1050000
Aizutakada,10
power,4580000000
"a parish church in the Church of England in Willoughby on the Wolds, Nottinghamshire, England",2
USA,3120000000
the Emirates Stadium,1630000
the reasons for this difference,4190000
Iraqi Prime Minister Allawi,726
"their international debut album, Identity Crisis",2
CIA,95200000
a crew of four,476000
an independent private bank,3450
Mike's wines,185
Persuasion and Emma,18500
tramadol,8690000
Olympique Lyonnais (Lyon),28500
California's roads and bridges,559
dedication and perseverance,4740000
three months,282000000
the word meze,555
instances when the Sinhalese kings tried to employ them as mercenaries by renaming a section of the most hardcore fighters as Mahatantra,1
a modest wedding breakfast,161
an unstable talus slope,10
the American Revolutionary War,1470000
Beijing's austerity programs,0
Athens,194000000
himself,1260000000
the third largest LDS retail bookstore,0
relegation,14700000
the divisions that led to the war,5
the Hungarians,460000
the investigation into her death,81300
Bishops,32900000
seven matches,994000
That appearance,544000
the historic covered bridge,15500
her absentee ballot,11700
"his well-known monumental picture, the Arrival of the Hungarians",2
TIME magazine,21200000
Canada,3380000000
Mr. Dinkins,7250
Karnataka,396000000
department stores,46500000
"New York, Chicago, Washington, DC, Philadelphia, San Francisco, and Los Angeles",0
Rimske Toplice,80800
The two countries,33200000
the door,433000000
Aleksandrowka aleksan' drufka,0
These two servers,78700
CEO,1030000000
Baba Hari Dass,18100
hold,2410000000
terms of its ranking within Latin America,0
Greater Poland,842000
Her,6900000000
his career,252000000
the corner (it was excluded from the district because it was a different size and shape from the Balding houses),1
a blow,37300000
the key,1280000000
road,2540000000
additional investors,107000
comment,3530000000
the farthest upstream Mississippi River port capable of handling Panamax ships,169
The U.S. Senate,14500000
Reports,3090000000
The iPad,19900000
Blackmore replacing Edwards,3
The mission,238000000
American historian,546000
over-exposed market participants,1
Anapa,792000
"social exchange theory, equity theory, relational dialectics, and attachment styles",569
the judicial process,3100000
"Charles Mudede of The Stranger said ""It",7640
all these issues,31600000
Jones Parry,30800
his own genre,88700
dysfunctional approaches that are intended to help but in fact,5
A team of US Air Force experts,293
Cheltenham College Junior School,3710
the Standard,887000000
much-needed support,1630000
part of efforts,14000000
"the alleged misuse of public funds for overseas trips by Miaoli County commissioner Fu Hsueh-peng, along with county councilors Lo Hsing-chun and Hsieh Ching-chuan; alleged breaches of the Securities Transaction Law by leading brokerage owner You Hwai-yin; alleged financial fraud by national legislator Lin Jui-tu; and alleged corruption by Tainan mayor George Chang in connection with a canal dredging project",0
mainframes,2400000
the floodplain of the East Fork of the Quinault River,1
an internal probe,95300
The mechanism,277000000
Wheat Ridge,4250000
the vast majority of its territory-previously,1
dozens of Creole-speaking doctors and nurses,1
The explosions,2700000
center and power,11100000
the landing spot,121000
Carl Edwards,524000
Farrell,95400000
a detachment from the regiment,14000
its human driver,3720
"several world class golf courses including Pezula Golf Course, Simola Golf Course and the well established Knysna Golf Course",16
something we'll deliver it to you,1
two weeks,415000000
The earliest evidence of wild barley in an archaeological context,128
the negotiating table,1710000
the NBA record,155000
the stock,169000000
Powerful explosives,35900
warnign shots,3
the webcomic xkcd and the satirical news organization The Onion,1
the Archbishop of Dublin,116000
"Mostafa Rahmani, head of the Iranian office in Washington",1
"Suzanne Pleshette, Rod Taylor, Jane Russell (playing herself entertaining for the USO in a flashback sequence), Wally Cox",0
England coach Fabio Capello,8770
Gap,1100000000
young guys with their personalized photo albums and their dressing,1
suspicions,29700000
more than a year,242000000
European investors,284000
the first edition of the Games (organised by IFIUS),1
retail group Parkson,62
"the Tenth Amendment, not the Second Amendment",0
South Carolina as a delegate,9750
The verdict by Moscow City Court,0
the personal income tax,596000
Opole-Raciborz,52
hand,3980000000
the Mine Ban Treaty's provisions,4
Switzerland,1320000000
"the whole of northern Luzon is bracing for the impact of supertyphoon Megi hours before it made landfall Monday, abs - cbnnews",0
several European countries,2160000
Excello,696000
a rope-you just need,6450
the tradition,68400000
the Greens,19700000
"the Israeli military, and not the Lebanese",1
This calamity,335000
Rosenborg BK,3130000
medical instruments such as blood-oxygen monitors and ear thermometers,0
Gordon Zahler,1130
dispute cases involving foreign investment enterprises accepted by Tianjin,0
The film,581000000
equity,1770000000
a gun,95600000
the U.S. diplomats,319000
me,7650000000
The ruffly bits,19
Benjamin Netanyahu,18000000
various world championships and Olympic Games,450
part of the FA Premier Reserve League,3
"Lyon, France",15600000
the borough,16200000
the government,1020000000
right,8950000000
U.S. car and truck sales,2390
the FA Cup,9910000
a slow sales,27400
a normal pregnancy,360000
"a Turcophone Christian, possibly Uighur, and Serkis (from the Roman and later Christian name ""Sergius ""or ""Sarkis "") a Nestorian, possibly Syrian or Armenian",0
NBC television's,6010
Simon,750000000
farmers of considerable skill,2
the insulation,18000000
the ruling criminal regime,8
Norman Conquest,1450000
"Fortabat, whose marriage to Magdalena Corti Maderna ended in divorce",1
place in a large baking pan or dish,1
practices,2310000000
the Spanish association for the conservation of European bison,1
NATO's Partnership for Peace (PiP) program,5
the places least damaged by the quake,1
a former Romanian football player and football manager,0
president,1970000000
Such features,7250000
the Palmach's First Battalion in Operation Yiftach,0
The state attorney,6930000
Mr. Vila,4030
his excellent performance,132000
early medieval Ireland,60400
pAsia,541000
lack of cooperation,12100000
Crown Prince Qi,3500
a county emergency official,328
